# Acknowledged exclusions from the release-bump tripwire (.github/scripts/check_release_bump.py).
#
# Each row records a commit that release-please silently dropped from the changelog
# and the empty re-statement commit that carried its title back into a release.
# A row suppresses ONLY the changelog-completeness failure for the original SHA —
# it never affects the version floor. Suppression applies only when the replacement
# SHA is itself present in the release PR's changelog (a completed remediation).
#
# Add entries through a human remediation PR — never by automation.
# Rows may share the same Actions run when one pre-cut audit surfaced multiple drops.
#
# Format (columns separated by two or more spaces):
#   <original-sha40>  <replacement-sha40>  <YYYY-MM-DD>  <reason>

4d88419716b7b7054660a7943b061420bd804ed8  4fe4d89ffb12323d09062c8d98d3ce36d3166ec6  2026-07-31  #726 — dropped by the release-please parser crash (Actions run 30597099129); re-stated as #740, shipped in 0.23.0
2a6ac6a7259146083deb62f18171fd10c9312754  67433175164f49ffbdc5b3ce89dab752a61fd9e5  2026-07-31  #716 — dropped by the release-please parser crash (Actions run 30597099129); re-stated as #741, shipped in 0.23.0
8b30bbdc0b1c986a46bb8039d35665379112a8e7  404be8f139af0b7fa67f1b1220fcfa3363f0e37c  2026-08-14  #983 — dropped by the release-please parser crash on the 445-line squash body (known upstream token bug; tripwire run 31799569596); re-stated as #994, ships in 0.27.0
8124c9a57d39484986d776d0cfe12b24f5e48ec3  aca7b64a78d726f792faf20c00903e2de7ab5676  2026-08-16  #1012 — dropped by the release-please parser crash on the long squash body (known upstream token bug; tripwire run 31948447746); re-stated as #1032, ships in 0.28.0
87502a1ee3e370305d70be098f65a307afb0e077  fe83ac7c53431ef1bbdcf6450926130a5a824125  2026-08-16  #1013 — dropped by the release-please parser crash on the long squash body (known upstream token bug; tripwire run 31948447746); re-stated as #1033, ships in 0.28.0
bbe4c579ed25cf81f5a060bf776f47fb00949e92  abeadbf433baaafc93fda85d7445a1a0060b8764  2026-08-20  #1082 — dropped by the release-please parser crash on the long squash body (known upstream token bug; tripwire run 32372119767); re-stated as #1087, ships in 0.31.0
301eac01e646fdcad8fd29b5a82241a5d4dab4ad  2f35e3693194c059dcee0664e079655bca145fd8  2026-08-28  #1192 — dropped by the release-please parser crash on the long squash body (known upstream token bug; release-bump gate run 33167136746); re-stated as #1206, ships in 0.32.0
77bfd1444171afb64b8690500b8c393be1a7cb99  1914afe146758973a568fd127903df08e84b0dc2  2026-08-28  #1183 — dropped by the release-please parser crash on the long squash body (known upstream token bug; release-bump gate run 33167136746); re-stated as #1207, ships in 0.32.0
7fb45fbb4d71b0a5226a326e54b324d4171e53cd  3e1395d732e7c1fb317a50d41a093bc090b29693  2026-08-28  #1142 — dropped by the release-please parser crash on the long squash body (known upstream token bug; release-bump gate run 33167136746); re-stated as #1208, ships in 0.32.0
85c0ebac9fe2a3c8f04db550323dca08688e0d04  93f57adb844654b2062368ef4a4acb6d9ff3039e  2026-08-28  #1128 — dropped by the release-please parser crash on the long squash body (known upstream token bug; release-bump gate run 33167136746); re-stated as #1209, ships in 0.32.0
14fb0519382d3fac6c7950f204bba5aa248b09a6  5a6ae1d546dacdcbeefbdbbd25f904dc923f94b8  2026-08-28  #1195 — dropped by the release-please parser crash on the long squash body (known upstream token bug; post-merge tripwire on 14fb0519); re-stated as #1211, ships in 0.32.0
